id,count
964,0
965,1
966,0
967,4
968,8
969,22
970,31
971,61
972,80
973,65
974,116
975,109
976,63
977,61
978,96
979,65
980,63
981,11
982,4
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,0
991,7
992,26
993,76
994,133
995,172
996,181
997,233
998,314
999,273
1000,203
1001,198
1002,231
1003,208
1004,107
1005,42
1006,8
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,1
1015,0
1016,2
1017,10
1018,19
1019,36
1020,78
1021,63
1022,66
1023,69
1024,66
1025,49
1026,60
1027,100
1028,97
1029,68
1030,39
1031,3
1032,7
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,1
1040,1
1041,13
1042,26
1043,42
1044,64
1045,48
1046,55
1047,38
1048,49
1049,42
1050,37
1051,62
1052,67
1053,51
1054,12
1055,2
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,0
1063,2
1064,1
1065,9
1066,38
1067,59
1068,106
1069,102
1070,109
1071,135
1072,157
1073,86
1074,68
1075,81
1076,96
1077,67
1078,16
1079,3
1080,0
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,1
1088,4
1089,23
1090,41
1091,85
1092,103
1093,131
1094,137
1095,204
1096,193
1097,127
1098,86
1099,118
1100,130
1101,126
1102,43
1103,5
1104,5
1105,0
1106,0
1107,0
1108,0
1109,0
1110,0
1111,2
1112,1
1113,10
1114,27
1115,50
1116,61
1117,78
1118,100
1119,108
1120,129
1121,84
1122,51
1123,76
1124,94
1125,64
1126,5
1127,1
1128,0
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0
1135,1
1136,1
1137,7
1138,44
1139,57
1140,87
1141,100
1142,133
1143,165
1144,182
1145,140
1146,92
1147,128
1148,134
1149,97
1150,37
1151,3
1152,0
1153,0
1154,0
1155,0
1156,0
1157,0
1158,0
1159,1
1160,0
1161,4
1162,1
1163,21
1164,47
1165,63
1166,77
1167,74
1168,111
1169,127
1170,70
1171,63
1172,73
1173,77
1174,40
1175,20
1176,6
1177,0
1178,0
1179,0
1180,0
1181,0
1182,0
1183,0
1184,0
1185,3
1186,10
1187,14
1188,34
1189,48
1190,76
1191,56
1192,75
1193,63
1194,55
1195,40
1196,82
1197,88
1198,49
1199,17
1200,3
1201,2
1202,0
1203,0
1204,0
1205,0
1206,0
1207,0
1208,1
1209,4
1210,8
1211,14
1212,48
1213,49
1214,42
1215,64
1216,69
1217,45
1218,38
1219,44
1220,62
1221,48
1222,34
1223,13
1224,2
1225,0
1226,0
1227,0
1228,0
1229,0
1230,0
1231,1
1232,0
1233,0
1234,1
1235,2
1236,26
1237,37
1238,52
1239,61
1240,109
1241,134
1242,116
1243,55
1244,62
1245,82
1246,71
1247,64
1248,14
1249,2
1250,3
1251,1
1252,0
1253,0
1254,0
1255,0
1256,0
1257,1
1258,0
1259,0
1260,11
1261,14
1262,42
1263,55
1264,69
1265,76
1266,113
1267,124
1268,57
1269,53
1270,98
1271,72
1272,60
1273,21
1274,3
1275,0
1276,0
1277,0
1278,0
1279,0
1280,0
1281,0
1282,1
1283,0
1284,0
1285,6
1286,11
1287,41
1288,70
1289,57
1290,92
1291,129
1292,111
1293,66
1294,46
1295,74
1296,72
1297,64
1298,23
1299,4
1300,0
1301,0
1302,0
1303,0
1304,0
1305,0
1306,1
1307,1
1308,0
1309,5
1310,9
1311,37
1312,42
1313,74
1314,71
1315,103
1316,105
1317,105
1318,69
1319,41
1320,75
1321,97
1322,57
1323,22
1324,7
1325,3
1326,0
1327,0
1328,0
1329,0
1330,0
1331,0
1332,1
1333,3
1334,22
1335,34
1336,51
1337,112
1338,108
1339,158
1340,192
1341,177
1342,108
1343,61
1344,111
1345,105
1346,69
1347,19
1348,6
1349,1
1350,0
1351,0
1352,0
1353,1
1354,0
1355,0
1356,0
1357,2
1358,2
1359,9
1360,27
1361,41
1362,68
1363,73
1364,72
1365,66
1366,63
1367,52
1368,48
1369,74
1370,75
1371,62
1372,22
1373,4
1374,0
1375,0
1376,0
1377,0
1378,0
1379,0
1380,0
1381,2
1382,1
1383,8
1384,20
1385,29
1386,39
1387,47
1388,47
1389,46
1390,37
1391,43
1392,33
1393,53
1394,53
1395,39
1396,15
1397,4
1398,0
1399,0
1400,0
1401,0
1402,0
1403,0
1404,0
1405,0
1406,3
1407,11
1408,16
1409,41
1410,49
1411,63
1412,121
1413,108
1414,98
1415,71
1416,39
1417,88
1418,94
1419,45
1420,25
1421,11
1422,2
1423,0
1424,0
1425,1
1426,0
1427,0
1428,0
1429,0
1430,0
1431,6
1432,21
1433,45
1434,67
1435,102
1436,123
1437,116
1438,159
1439,157
1440,106
1441,55
1442,98
1443,114
1444,64
1445,17
1446,3
1447,2
1448,0
1449,0
1450,0
1451,0
1452,0
1453,0
1454,0
1455,3
1456,13
1457,34
1458,56
1459,76
1460,69
1461,85
1462,122
1463,119
1464,63
1465,61
1466,94
1467,93
1468,44
1469,13
1470,7
1471,1
1472,0
1473,0
1474,0
1475,0
1476,0
1477,0
1478,0
1479,4
1480,15
1481,26
1482,60
1483,61
1484,68
1485,78
1486,119
1487,119
1488,96
1489,51
1490,100
1491,84
1492,60
1493,20
1494,9
1495,0
1496,0
1497,0
1498,0
1499,0
1500,0
1501,0
1502,2
1503,4
1504,37
1505,59
1506,93
1507,139
1508,170
1509,184
1510,296
1511,247
1512,154
1513,111
1514,166
1515,168
1516,112
1517,28
1518,7
1519,4
1520,0
1521,0
1522,0
1523,0
1524,0
1525,0
1526,1
1527,1
1528,17
1529,14
1530,36
1531,59
1532,77
1533,87
1534,78
1535,48
1536,44
1537,54
1538,77
1539,75
1540,48
1541,24
